Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
Xi ; 4.00000 2.00000 2.00000 0.00000 4.00000 ; Y ;40.00000 ; iterations ;1000
